QueryId,DocumentId
int-10,A1-1053
int-10,B2-268
int-10,C1-660
int-10,A2-552
int-10,A1-1111
int-10,A1-1093
int-10,C1-574
int-10,C1-650
int-10,A1-1208
int-10,B1-942
int-10,A1-1167
int-10,A1-1035
int-10,B1-893
int-10,B2-73
int-10,B1-801
int-10,B2-262
int-10,B2-181
int-10,B1-955
int-10,B1-845
int-10,B2-227
int-10,A2-527
int-10,B1-867
int-10,B2-188
int-10,A2-363
int-10,B2-253
int-10,A2-378
int-10,B2-170
int-10,B2-67
int-10,C1-696
int-10,B2-60
int-10,C1-616
int-10,A2-535
int-10,A1-1258
int-10,A1-1151
int-10,C2-1379
int-10,A2-293
int-10,A1-1154
int-10,A1-1157
int-10,A1-1162
int-10,A1-1205
int-10,A2-319
int-10,B2-150
int-10,A1-1141
int-10,A1-1068
int-10,A1-1207
int-10,A2-362
int-10,A2-534
int-10,C1-589
int-10,A2-496
int-10,C1-778
int-10,B1-954
int-10,B2-258
int-10,C1-643
int-10,B2-82
int-10,C1-727
int-10,C1-726
int-10,B2-138
int-10,A2-313
int-10,C2-1325
int-10,B2-180
int-10,B1-882
int-10,C1-672
int-10,C2-1330
int-10,A2-444
int-10,A2-518
int-10,C1-710
int-10,B1-1004
int-10,B1-944
int-10,C1-738
int-10,A2-361
int-10,A2-411
int-10,B1-909
int-10,A2-374
int-10,A2-379
int-10,A2-504
int-10,B1-928
int-10,B1-835
int-10,B1-883
int-10,A2-490
int-10,B2-49
int-10,C2-1305
int-10,C2-1466
int-10,B1-844
int-10,C1-746
int-10,B2-117
int-10,C1-603
int-10,C2-1471
int-10,C2-1334
int-10,C2-1474
int-11,C2-1476
int-11,C1-652
int-11,B2-33
int-11,B2-31
int-11,B2-18
int-11,A2-515
int-11,A1-1209
int-11,A1-1274
int-11,C1-644
int-11,A1-1062
int-11,A2-491
int-11,C1-754
int-11,B1-821
int-11,A1-1055
int-11,B1-816
int-11,C1-604
int-11,A1-1099
int-11,C1-746
int-11,B1-996
int-11,B1-940
int-11,A1-1128
int-11,B2-153
int-11,A2-483
int-11,B2-27
int-11,A2-535
int-11,B1-863
int-11,C2-1430
int-11,B2-163
int-11,A2-290
int-11,A1-1111
int-11,A1-1210
int-11,B1-905
int-11,C1-578
int-11,A1-1102
int-11,A2-534
int-11,A1-1146
int-11,A2-394
int-11,A2-423
int-11,B2-97
int-11,A2-517
int-11,B1-988
int-11,C2-1366
int-11,C1-603
int-11,A2-463
int-11,B1-811
int-11,A2-495
int-11,C1-779
int-11,A2-297
int-11,B1-932
int-11,A2-399
int-11,B2-215
int-11,B1-920
int-11,A1-1080
int-11,B2-227
int-11,C2-1434
int-11,B2-220
int-11,A1-1265
int-11,A1-1186
int-11,A1-1162
int-11,A2-397
int-11,A2-456
int-11,C1-638
int-11,A1-1029
int-11,A2-353
int-11,B1-847
int-11,A2-532
int-11,B1-849
int-11,B2-9
int-11,A2-486
int-11,C1-777
int-11,A2-460
int-11,A2-409
int-11,A2-429
int-11,B2-188
int-11,B2-275
int-11,B2-50
int-11,B1-971
int-11,B1-902
int-11,A2-450
int-11,A2-300
int-11,B1-904
int-11,A2-480
int-11,B1-925
int-11,A2-337
int-11,A2-475
int-11,A2-345
int-11,B1-1002
int-11,A2-520
int-11,B1-944
int-11,B1-941
int-11,A2-493
int-11,A2-333
int-11,C1-780
int-11,A2-455
int-11,C1-609
int-11,A2-402
int-11,B1-883
int-11,A2-380
int-11,B1-907
int-11,B1-823
int-12,A2-341
int-12,A2-549
int-12,B1-998
int-12,C1-724
int-12,A1-1060
int-12,A2-366
int-12,A2-509
int-12,C2-1476
int-12,A2-417
int-12,B2-97
int-12,A2-312
int-12,C1-664
int-12,B1-996
int-12,B1-961
int-12,B2-116
int-12,B2-83
int-12,C2-1477
int-12,A1-1140
int-12,A2-396
int-12,B2-202
int-12,A1-1100
int-12,B2-281
int-12,A1-1155
int-12,A1-1282
int-12,B1-852
int-12,B1-968
int-12,A2-504
int-12,B2-107
int-12,B1-811
int-12,B1-865
int-12,A2-497
int-12,B1-917
int-12,B1-937
int-12,A1-1105
int-12,C1-603
int-12,B1-970
int-12,A2-294
int-12,B1-913
int-12,C1-578
int-12,B2-144
int-12,A2-391
int-12,A1-1198
int-12,A2-418
int-12,C1-624
int-12,B2-284
int-12,A2-423
int-12,A2-552
int-12,A1-1086
int-12,B2-264
int-12,A2-287
int-12,C1-668
int-12,C1-620
int-12,B1-939
int-12,A1-1118
int-12,B1-822
int-12,A1-1274
int-12,C1-614
int-12,B2-225
int-12,A2-288
int-12,B1-818
int-12,A2-365
int-12,B1-932
int-12,B2-219
int-12,B1-860
int-12,B1-834
int-12,B2-146
int-12,B1-813
int-12,A2-289
int-12,C1-679
int-12,B2-278
int-12,A2-399
int-12,C1-599
int-12,C1-705
int-12,B1-862
int-12,B1-882
int-12,C1-673
int-12,A1-1042
int-12,A2-363
int-12,A1-1247
int-12,A2-540
int-12,B1-1001
int-12,A2-380
int-12,B1-841
int-12,A2-505
int-12,C1-747
int-12,B2-14
int-12,B2-123
int-12,C1-763
int-12,A2-488
int-12,B1-990
int-12,B2-265
int-12,B2-204
int-12,C1-734
int-12,A2-301
int-12,B2-174
int-12,C1-771
int-12,C1-693
int-12,A2-489
int-12,B1-934
int-12,C1-750
int-13,C2-1492
int-13,B1-800
int-13,C1-690
int-13,B2-110
int-13,C1-762
int-13,C1-731
int-13,B2-116
int-13,C2-1323
int-13,A1-1180
int-13,B1-865
int-13,C1-607
int-13,B2-65
int-13,B2-121
int-13,C2-1381
int-13,A1-1093
int-13,B2-14
int-13,B2-202
int-13,B1-961
int-13,B1-804
int-13,B1-932
int-13,C1-578
int-13,A2-312
int-13,A2-378
int-13,C1-678
int-13,B2-1
int-13,C1-707
int-13,B1-811
int-13,C1-717
int-13,A1-1223
int-13,A1-1182
int-13,B1-934
int-13,B2-68
int-13,B2-34
int-13,B1-822
int-13,A2-504
int-13,C1-686
int-13,C2-1344
int-13,A2-535
int-13,C2-1445
int-13,B1-882
int-13,C2-1424
int-13,C1-640
int-13,B2-144
int-13,B1-974
int-13,B2-117
int-13,B1-951
int-13,B1-902
int-13,B2-135
int-13,B2-97
int-13,A1-1240
int-13,C1-639
int-13,C2-1400
int-13,A2-338
int-13,C1-735
int-13,A1-1100
int-13,C1-795
int-13,B1-820
int-13,A1-1156
int-13,A2-331
int-13,C2-1384
int-13,C2-1435
int-13,C1-669
int-13,B1-853
int-13,C1-664
int-13,C2-1368
int-13,A1-1209
int-13,B1-863
int-13,C1-752
int-13,B1-816
int-13,C2-1405
int-13,A2-288
int-13,C2-1453
int-13,B2-24
int-13,B2-142
int-13,A2-558
int-13,C1-675
int-13,A2-349
int-13,B2-127
int-13,B1-818
int-13,C1-660
int-13,A2-554
int-13,C2-1340
int-13,C1-732
int-13,A1-1282
int-13,B2-40
int-13,A1-1112
int-13,B2-221
int-13,B1-852
int-13,B2-233
int-13,C1-697
int-13,A2-499
int-13,B1-840
int-13,C1-620
int-13,C1-618
int-13,C2-1476
int-13,B1-860
int-13,B2-76
int-13,B1-998
int-13,C1-750
int-13,C1-564
int-14,A2-443
int-14,A2-467
int-14,A2-421
int-14,A1-1287
int-14,B2-87
int-14,A2-439
int-14,B1-926
int-14,B1-822
int-14,A1-1250
int-14,B1-869
int-14,B1-970
int-14,B1-882
int-14,B1-906
int-14,B2-121
int-14,C1-795
int-14,B2-280
int-14,B1-914
int-14,B1-833
int-14,B2-157
int-14,B1-977
int-14,B1-1004
int-14,A1-1132
int-14,A2-447
int-14,B1-853
int-14,B2-63
int-14,B2-265
int-14,B1-806
int-14,C1-776
int-14,C2-1313
int-14,B1-860
int-14,A2-368
int-14,A1-1227
int-14,B2-107
int-14,A1-1181
int-14,C1-715
int-14,B2-284
int-14,C2-1426
int-14,A2-294
int-14,B1-950
int-14,A1-1095
int-14,C1-779
int-14,A2-540
int-14,B1-804
int-14,B1-908
int-14,B2-264
int-14,C1-664
int-14,A2-438
int-14,A2-453
int-14,C1-697
int-14,B2-220
int-14,C1-773
int-14,B1-981
int-14,B1-995
int-14,C1-790
int-14,B1-865
int-14,C1-711
int-14,A1-1257
int-14,A1-1029
int-14,A2-326
int-14,C1-750
int-14,B2-142
int-14,B2-24
int-14,B1-979
int-14,B1-800
int-14,B1-831
int-14,A1-1223
int-14,B1-932
int-14,A2-331
int-14,C2-1388
int-14,A2-462
int-14,B2-42
int-14,B2-153
int-14,B2-73
int-14,B2-14
int-14,C1-706
int-14,B1-852
int-14,B2-135
int-14,C2-1433
int-14,C2-1410
int-14,B1-934
int-14,C1-614
int-14,A2-428
int-14,A1-1187
int-14,A2-458
int-14,B1-847
int-14,C1-754
int-14,B1-953
int-14,A1-1034
int-14,B2-41
int-14,B1-905
int-14,B2-277
int-14,C2-1489
int-14,B2-134
int-14,B2-205
int-14,C1-752
int-14,B1-1003
int-14,B2-144
int-14,C1-753
int-14,B2-266
int-14,C2-1338
int-15,C2-1453
int-15,B2-283
int-15,B2-281
int-15,B1-961
int-15,C2-1296
int-15,B1-974
int-15,B1-822
int-15,A2-365
int-15,A2-449
int-15,B1-811
int-15,B2-254
int-15,C1-655
int-15,C1-752
int-15,B1-882
int-15,B2-97
int-15,B2-121
int-15,C2-1463
int-15,C1-771
int-15,C1-657
int-15,C1-565
int-15,A1-1011
int-15,C1-795
int-15,B2-116
int-15,B2-105
int-15,C2-1325
int-15,C1-593
int-15,B1-841
int-15,B2-260
int-15,C1-605
int-15,C2-1478
int-15,B2-163
int-15,B1-855
int-15,A1-1254
int-15,A1-1207
int-15,C1-706
int-15,B2-205
int-15,B2-126
int-15,C1-707
int-15,B2-177
int-15,B2-203
int-15,B1-862
int-15,C1-669
int-15,B1-804
int-15,C1-770
int-15,C2-1335
int-15,B1-941
int-15,B2-80
int-15,C2-1373
int-15,B2-243
int-15,B1-871
int-15,B2-115
int-15,B1-915
int-15,A2-419
int-15,B1-853
int-15,B1-913
int-15,C1-678
int-15,B2-284
int-15,B2-117
int-15,B1-850
int-15,A1-1268
int-15,C1-767
int-15,C2-1348
int-15,C1-659
int-15,B1-861
int-15,B1-852
int-15,C1-711
int-15,C1-796
int-15,B1-909
int-15,B2-2
int-15,B2-235
int-15,A2-428
int-15,C2-1407
int-15,C1-779
int-15,A2-497
int-15,A1-1274
int-15,C1-650
int-15,B2-107
int-15,C2-1371
int-15,C1-559
int-15,C2-1452
int-15,C1-580
int-15,B2-241
int-15,C1-799
int-15,C2-1360
int-15,B1-917
int-15,A2-397
int-15,C1-787
int-15,B2-1
int-15,B1-860
int-15,C2-1431
int-15,A2-429
int-15,C1-620
int-15,A2-502
int-15,B1-844
int-15,C1-720
int-15,B1-872
int-15,B1-1001
int-15,C1-633
int-15,B2-155
int-15,A2-378
int-16,B2-220
int-16,B1-975
int-16,A2-535
int-16,A2-503
int-16,B2-182
int-16,C1-750
int-16,A2-458
int-16,B1-907
int-16,A2-345
int-16,B1-840
